"titulo","ano","min","nota","eta"
"Um Sonho de Liberdade","1994",142,9.3,"16"
"O Poderoso Chefão","1972",175,9.2,"14"
"Batman: O Cavaleiro das Trevas","2008",152,9.1,"12"
"O Poderoso Chefão: Parte II","1974",202,9,"14"
"12 Homens e uma Sentença","1957",96,9,"Livre"
"O Senhor dos Anéis: O Retorno do Rei","2003",201,9,"12"
"A Lista de Schindler","1993",195,9,"14"
"Pulp Fiction: Tempo de Violência","1994",154,8.8,"18"
"O Senhor dos Anéis: A Sociedade do Anel","2001",178,8.9,"12"
"Três Homens em Conflito","1966",161,8.8,"14"
"Forrest Gump: O Contador de Histórias","1994",142,8.8,"14"
"O Senhor dos Anéis: As Duas Torres","2002",179,8.8,"12"
"Clube da Luta","1999",139,8.8,"18"
"A Origem","2010",148,8.8,"14"
"Star Wars: Episódio V - O Império Contra-Ataca","1980",124,8.7,"Livre"
"Matrix","1999",136,8.7,"14"
"Os Bons Companheiros","1990",145,8.7,"14"
"Interestelar","2014",169,8.7,"10"
"Um Estranho no Ninho","1975",133,8.7,"16"
"Seven - Os Sete Crimes Capitais","1995",127,8.6,"14"
"A Felicidade Não se Compra","1946",130,8.6,"Livre"
"O Silêncio dos Inocentes","1991",118,8.6,"14"
"Os Sete Samurais","1954",207,8.6,"10"
"O Resgate do Soldado Ryan","1998",169,8.6,"16"
"À Espera de um Milagre","1999",189,8.6,"18"
"Cidade de Deus","2002",130,8.6,"18"
"A Vida é Bela","1997",116,8.6,"Livre"
"O Exterminador do Futuro 2: O Julgamento Final","1991",137,8.6,"14"
"Star Wars: Episódio IV - Uma Nova Esperança","1977",121,8.6,"10"
"De Volta para o Futuro","1985",116,8.5,"Livre"
"A Viagem de Chihiro","2001",124,8.6,"Livre"
"O Pianista","2002",150,8.5,"14"
"Gladiador","2000",155,8.5,"14"
"Parasita","2019",132,8.5,"16"
"Psicose","1960",109,8.5,"14"
"O Rei Leão","1994",88,8.5,"Livre"
"Túmulo dos Vagalumes","1988",88,8.5,"12"
"Os Infiltrados","2006",151,8.5,"18"
"Whiplash: Em Busca da Perfeição","2014",106,8.5,"12"
"Harakiri","1962",133,8.6,"16"
"O Grande Truque","2006",130,8.5,"14"
"A Outra História Americana","1998",119,8.5,"16"
"O Profissional","1994",110,8.5,"14"
"Homem-Aranha: Através do Aranhaverso","2023",140,8.5,"10"
"Casablanca","1942",102,8.5,"Livre"
"Cinema Paradiso","1988",174,8.5,"10"
"Intocáveis","2011",112,8.5,"14"
"Os Suspeitos","1995",106,8.5,"14"
"Alien - O 8º Passageiro","1979",117,8.5,"14"
"Tempos Modernos","1936",87,8.5,"Livre"
"Janela Indiscreta","1954",112,8.5,"12"
"Django Livre","2012",165,8.5,"16"
"Era uma Vez no Oeste","1968",166,8.5,"14"
"Luzes da Cidade","1931",87,8.5,"Livre"
"Apocalypse Now","1979",147,8.5,"16"
"WALL·E","2008",98,8.4,"Livre"
"Amnésia","2000",113,8.4,"16"
"Duna: Parte 2","2024",166,8.4,"14"
"Os Caçadores da Arca Perdida","1981",115,8.4,"Livre"
"Vingadores: Guerra Infinita","2018",149,8.4,"12"
"A Vida dos Outros","2006",137,8.4,"12"
"Crepúsculo dos Deuses","1950",110,8.4,"Livre"
"Homem-Aranha: No Aranhaverso","2018",117,8.4,"10"
"Testemunha de Acusação","1957",116,8.4,"12"
"Glória Feita de Sangue","1957",88,8.4,"14"
"O Iluminado","1980",146,8.4,"16"
"O Grande Ditador","1940",125,8.4,"Livre"
"Bastardos Inglórios","2009",153,8.4,"18"
"Repetente","2023",147,8.4,"10"
"Aliens: O Resgate","1986",137,8.4,"14"
"Batman: O Cavaleiro das Trevas Ressurge","2012",164,8.4,"12"
"Viva: A Vida é uma Festa","2017",105,8.4,"Livre"
"Amadeus","1984",160,8.4,"Livre"
"Vingadores: Ultimato","2019",181,8.4,"12"
"Gênio Indomável","1997",126,8.4,"14"
"Toy Story","1995",81,8.3,"Livre"
"Céu e Inferno","1963",143,8.4,"Not Rated"
"Dr. Fantástico","1964",95,8.4,"10"
"Oldboy","2003",120,8.4,"16"
"O Barco: Inferno no Mar","1981",149,8.3,"14"
"Coração Valente","1995",178,8.3,"16"
"Your Name","2016",106,8.4,"Livre"
"Princesa Mononoke","1997",133,8.4,"12"
"Beleza Americana","1999",122,8.3,"14"
"3 Idiotas","2009",170,8.4,"12"
"Coringa","2019",122,8.4,"16"
"Cafarnaum","2018",126,8.4,"16"
"Era uma Vez na América","1984",229,8.4,"18"
"Cantando na Chuva","1952",103,8.3,"Livre"
"Vá e Veja","1985",142,8.4,"18"
"Réquiem para um Sonho","2000",102,8.3,"18"
"Star Wars: Episódio VI - O Retorno de Jedi","1983",131,8.3,"Livre"
"Toy Story 3","2010",103,8.3,"Livre"
"A Caça","2012",115,8.3,"14"
"Viver","1952",143,8.3,"Not Rated"
"Brilho Eterno de uma Mente sem Lembranças","2004",108,8.3,"14"
"Incêndios","2010",131,8.3,"14"
"Se Meu Apartamento Falasse","1960",125,8.3,"Livre"
"Lawrence da Arábia","1962",227,8.3,"14"
"2001: Uma Odisseia no Espaço","1968",149,8.3,"Livre"
